Time (hours),Spring Mean,Spring Std,Summer Mean,Summer Std,Autumn Mean,Autumn Std
616.021602160216,462.5,76.63060746203178,432.7,66.49217999133432,419.5,75.94636265154507
616.0936093609361,462.5,76.63060746203178,432.7,66.49217999133432,419.7,76.03689893729228
616.1656165616562,462.6,76.45809309680695,432.7,66.49217999133432,419.7,76.03689893729228
616.2376237623763,462.7,76.57290643563165,432.8,66.6,419.7,76.03689893729228
616.3096309630963,462.7,76.57290643563165,432.9,66.42356509552916,419.7,76.03689893729228
616.3816381638164,462.8,76.52685803036735,432.9,66.42356509552916,419.8,75.9971052080275
616.4536453645364,462.8,76.52685803036735,432.9,66.42356509552916,419.9,76.07555454940831
616.5256525652566,462.9,76.66609420076126,432.9,66.42356509552916,420.3,75.97242920954943
616.5976597659766,463.2,76.84243619251019,432.9,66.42356509552916,420.3,75.97242920954943
616.6696669666967,463.3,76.81933350400796,433.0,66.54772723391837,420.3,75.97242920954943
616.7416741674167,463.4,76.72444199862258,433.2,66.61050968128077,420.5,75.85413634074281
616.8136813681368,463.5,76.63974164883386,433.3,66.52074864281069,420.5,75.85413634074281
616.885688568857,463.7,76.53241143463337,433.4,66.60060059789251,420.5,75.85413634074281
616.957695769577,463.8,76.6730721961759,433.5,66.68170663682807,420.5,75.85413634074281
617.0297029702971,463.9,76.7547392673573,433.5,66.68170663682807,420.6,75.752491708194
617.1017101710171,463.9,76.7547392673573,433.7,66.9313827737034,420.7,75.68229647678511
617.1737173717372,464.1,76.68956904299306,433.8,67.03849640318613,420.7,75.68229647678511
617.2457245724572,464.2,76.83072302145803,434.0,67.25622647755374,420.8,75.6436381991242
617.3177317731773,464.2,76.83072302145803,434.0,67.25622647755374,420.8,75.6436381991242
617.3897389738974,464.3,76.93900181312466,434.0,67.25622647755374,421.0,75.67430211108656
617.4617461746175,464.4,76.8442580808742,434.1,67.20632410718504,421.1,75.7184917969184
617.5337533753376,464.5,76.92626339554002,434.3,67.1982886686856,421.1,75.7184917969184
617.6057605760576,464.5,76.92626339554002,434.3,67.1982886686856,421.1,75.7184917969184
617.6777677767777,464.5,76.92626339554002,434.3,67.1982886686856,421.1,75.7184917969184
617.7497749774977,464.7,76.73076306149966,434.3,67.1982886686856,421.5,75.80006596303198
617.8217821782179,464.8,76.55951932973457,434.3,67.1982886686856,421.5,75.80006596303198
617.8937893789379,464.9,76.66870287151075,434.4,67.30854329132372,421.6,75.84484161760773
617.965796579658,464.9,76.66870287151075,434.4,67.30854329132372,421.6,75.84484161760773
618.0378037803781,464.9,76.66870287151075,434.4,67.30854329132372,421.6,75.84484161760773
618.1098109810981,464.9,76.66870287151075,434.5,67.43330037896706,421.6,75.84484161760773
618.1818181818182,465.0,76.75154721567507,434.7,67.37217526546104,421.6,75.84484161760773
618.2538253825383,465.0,76.75154721567507,434.7,67.37217526546104,421.6,75.84484161760773
618.3258325832584,465.0,76.75154721567507,434.8,67.34953600434082,421.6,75.84484161760773
618.3978397839784,465.1,76.89271747051212,434.9,67.46028461250367,421.7,75.82618281306266
618.4698469846985,465.2,77.0023376268539,435.1,67.53584233575532,421.7,75.82618281306266
618.5418541854185,465.2,77.0023376268539,435.1,67.53584233575532,421.8,75.90494055066509
618.6138613861386,465.3,76.97928292729155,435.1,67.53584233575532,421.9,75.95057603468192
618.6858685868588,465.3,76.97928292729155,435.3,67.30980612065377,421.9,75.95057603468192
618.7578757875788,465.3,76.97928292729155,435.3,67.30980612065377,421.9,75.95057603468192
618.8298829882989,465.3,76.97928292729155,435.3,67.30980612065377,421.9,75.95057603468192
618.9018901890189,465.3,76.97928292729155,435.3,67.30980612065377,421.9,75.95057603468192
618.973897389739,465.5,76.99642848859939,435.3,67.30980612065377,422.0,76.12358373066786
619.045904590459,465.5,76.99642848859939,435.4,67.2609842330604,422.2,76.16403350663619
619.1179117911792,465.5,76.99642848859939,435.5,67.08539334311158,422.2,76.16403350663619
619.1899189918992,465.5,76.99642848859939,435.5,67.08539334311158,422.2,76.16403350663619
619.2619261926193,465.6,76.97168310489255,435.5,67.08539334311158,422.4,76.51169845193608
619.3339333933394,465.6,76.97168310489255,435.7,67.19382412097112,422.6,76.53914031395962
619.4059405940594,465.6,76.97168310489255,435.8,67.10409823550273,422.6,76.53914031395962
