Time (hours),Mean accumulation,Standard deviation
146.75067506750676,7.198,2.8008562976347067
146.82268226822683,7.214,2.8032488294833975
146.8946894689469,7.222,2.802626625150055
146.96669666966696,7.233,2.8033392588126014
147.03870387038705,7.243,2.8046302786641997
147.11071107110712,7.256,2.8043651688038076
147.18271827182718,7.264,2.8082563985505256
147.25472547254725,7.274,2.814768907033041
147.32673267326734,7.291,2.8107506114915273
147.3987398739874,7.299,2.813467433612853
147.47074707470748,7.312,2.817207127635452
147.54275427542754,7.322,2.817856632265031
147.6147614761476,7.339,2.8202976793239474
147.6867686768677,7.352,2.818527275014384
147.75877587758777,7.363,2.8201473365765852
147.83078307830783,7.374,2.820660206405585
147.9027902790279,7.384,2.8228609600899364
147.974797479748,7.398,2.8251718531799126
148.04680468046806,7.415,2.8313910009039795
148.11881188118812,7.423,2.8365597120455592
148.1908190819082,7.432,2.840664710943552
148.26282628262825,7.448,2.8438171530532683
148.33483348334835,7.463,2.8458093752041815
148.4068406840684,7.474,2.845579730037447
148.47884788478848,7.482,2.8459929725844257
148.55085508550854,7.498,2.845346376102567
148.62286228622864,7.513,2.844965904892361
148.6948694869487,7.52,2.8459796204470784
148.76687668766877,7.535,2.8500482452056923
148.83888388838884,7.551,2.8522620847320495
148.91089108910893,7.561,2.8566202057676535
148.982898289829,7.569,2.8574882326966735
149.05490549054906,7.579,2.861775497833463
149.12691269126913,7.586,2.862971183927635
149.1989198919892,7.6,2.868797657556214
149.2709270927093,7.612,2.876709231048562
149.34293429342935,7.617,2.8768578345131997
149.41494149414942,7.626,2.8754345758510955
149.48694869486948,7.635,2.8847486892275302
149.55895589558958,7.65,2.875673834077851
149.63096309630964,7.659,2.878318780121476
149.7029702970297,7.675,2.882598653992603
149.77497749774977,7.684,2.8834257403304124
149.84698469846984,7.693,2.8838777713349777
149.91899189918993,7.708,2.893913613085233
149.99099909991,7.719,2.895520505884909
150.06300630063006,7.728,2.899313022079544
150.13501350135013,7.737,2.903417124699789
150.20702070207022,7.746,2.9095504807444033
150.2790279027903,7.755,2.907400041273991
