Time (hours),Mean Surface Concentration,Std Surface Concentration,Mean Surface Concentration (Smooth),Std Surface Concentration (Smooth)
65.10325516275815,1867.665,6.157984654089355,1867.6569150001649,6.160954336919149
65.20326016300815,1867.616,6.174345633344445,1867.607049551127,6.169601603370931
65.30326516325816,1867.553,6.196385317263609,1867.5572527726022,6.17821071278218
65.40327016350818,1867.503,6.1991927700306215,1867.5075284966479,6.186774454700899
65.50327516375819,1867.448,6.203329428621378,1867.4578805375963,6.195286735892876
65.60328016400821,1867.396,6.216042470897377,1867.408312911567,6.203741794899607
65.70328516425822,1867.34,6.230441396883527,1867.3588297732485,6.212135664083744
65.80329016450823,1867.299,6.241442060934314,1867.3094349872783,6.220465516561491
65.90329516475825,1867.265,6.245220172259753,1867.2601320265603,6.228730516148508
66.00330016500826,1867.21,6.2392227079981595,1867.2109243883147,6.236931541731163
66.10330516525826,1867.157,6.249668071185875,1867.1618146584706,6.245070879155356
66.20331016550828,1867.111,6.256730695818694,1867.1128047669065,6.253152187939224
66.30331516575829,1867.054,6.264110790846539,1867.063895384335,6.261180748570858
66.4033201660083,1867.004,6.273275380532925,1867.0150868228698,6.269161998585786
66.50332516625832,1866.96,6.26948163726477,1866.9663780104718,6.277102285311076
66.60333016650833,1866.907,6.274739118082923,1866.9177670105062,6.2850081474602
66.70333516675834,1866.873,6.286562733322558,1866.869251247256,6.292885463428414
66.80334016700836,1866.821,6.293088192612532,1866.82082667339,6.300739784626032
66.90334516725837,1866.769,6.297431142934393,1866.7724881031895,6.308575595706075
67.00335016750839,1866.717,6.31180726892067,1866.724229483409,6.316396743997952
67.1033551677584,1866.665,6.314806014439403,1866.6760436576992,6.324205916442014
67.2033601680084,1866.622,6.32891112277619,1866.6279225542396,6.332004851327749
67.30336516825842,1866.575,6.3411651137626,1866.5798576318566,6.339794559457906
67.40337016850843,1866.523,6.355428467066552,1866.5318394795988,6.347575115444934
67.50337516875844,1866.478,6.370048351464848,1866.4838585682955,6.355346275834068
67.60338016900846,1866.438,6.364758911380715,1866.4359052457007,6.363107311853202
67.70338516925847,1866.388,6.372868741783376,1866.387969626475,6.3708579626390245
67.80339016950848,1866.34,6.392839744589248,1866.3400421191573,6.37859835277187
67.9033951697585,1866.292,6.390519227731032,1866.2921135160652,6.386329051327434
68.0034001700085,1866.245,6.389442463940023,1866.2441753155267,6.394051391893658
68.10340517025851,1866.194,6.40237174803211,1866.196219515736,6.40176811701375
68.20341017050853,1866.159,6.411530160577876,1866.1482392125088,6.409482847954913
68.30341517075854,1866.119,6.420345707202987,1866.1002278494202,6.417200511118131
68.40342017100855,1866.067,6.427947650689142,1866.0521794253837,6.424927559222928
68.50342517125857,1866.018,6.4339471555181715,1866.0040888934504,6.432671350156982
68.60343017150858,1865.979,6.4392980207472865,1865.9559512523465,6.4404404395516845
68.7034351717586,1865.904,6.443351922718482,1865.9077618388503,6.448244322400411
68.8034401720086,1865.85,6.452247670385856,1865.8595160251546,6.456093066805487
68.90344517225861,1865.802,6.453587839334016,1865.8112087254135,6.463997662592572
69.00345017250864,1865.754,6.470663335393073,1865.762834584766,6.4719691306322105
69.10345517275864,1865.708,6.478945593227336,1865.7143874699282,6.480018709260587
69.20346017300865,1865.656,6.489041839902111,1865.6658606922344,6.488157203524344
69.30346517325867,1865.613,6.4897789638785,1865.617247405005,6.496394848582681
69.40347017350868,1865.57,6.492695896159004,1865.568540066508,6.504740906237305
69.50347517375869,1865.53,6.510537612209913,1865.5197308962101,6.513203862259714
69.60348017400871,1865.477,6.509798076745536,1865.470811997654,6.521790414704437
69.70348517425872,1865.421,6.5153479569398245,1865.4217759993699,6.530505213593229
69.80349017450872,1865.378,6.527412657401099,1865.3726163501658,6.539351074151728
69.90349517475875,1865.331,6.5361639361325645,1865.3233273998842,6.54832860758845
70.00350017500875,1865.292,6.552460301291414,1865.2739053537339,6.5574357344097045
70.10350517525876,1865.251,6.561859416354489,1865.2243486224183,6.56666745123191
70.20351017550878,1865.21,6.565660667442378,1865.1746575491668,6.576015958194244
70.30351517575879,1865.146,6.583667974617197,1865.124834768047,6.585470666504659
70.40352017600881,1865.092,6.584643953927958,1865.0748856887742,6.595018496843907
70.50352517625882,1865.037,6.588902108849381,1865.0248180336441,6.604643540217907
70.60353017650883,1864.972,6.605544337902826,1864.9746419607545,6.614327502930433
70.70353517675885,1864.925,6.611609108227742,1864.9243697042045,6.6240500675642116
70.80354017700886,1864.882,6.622995998790894,1864.874014965531,6.6337893892968545
70.90354517725886,1864.825,6.627094008688879,1864.8235928884058,6.643522830606387
71.00355017750888,1864.777,6.641481084818332,1864.7731190677432,6.653227474164
71.10355517775889,1864.722,6.67238458124231,1864.7226096927823,6.662880686870071
71.2035601780089,1864.657,6.687551943723505,1864.6720805410862,6.672460893744895
71.30356517825892,1864.604,6.710378826862156,1864.6215465524265,6.681947738355677
71.40357017850893,1864.558,6.721654260671251,1864.5710216959703,6.691323590830815
71.50357517875894,1864.514,6.730364328920087,1864.5205185754667,6.7005730086569875
71.60358017900896,1864.469,6.7309017969362674,1864.4700479810945,6.7096841057351035
71.70358517925897,1864.414,6.735473554249912,1864.4196190285893,6.718648091974153
71.80359017950899,1864.369,6.74231703496655,1864.3692395325115,6.727459354483607
71.903595179759,1864.31,6.746547265083091,1864.3189153271164,6.7361158248320026
72.003600180009,1864.259,6.75425192008708,1864.2686509843356,6.744618651487906
72.10360518025902,1864.212,6.764248369183368,1864.2184499699306,6.7529715853466845
72.20361018050903,1864.168,6.770212404348921,1864.1683146451924,6.761180502577329
72.30361518075904,1864.12,6.778023310671,1864.1182467279498,6.769253013208941
72.40362018100906,1864.061,6.78271914500371,1864.068248089054,6.777197845623087
72.50362518125907,1864.02,6.785396082764828,1864.0183203664187,6.785024079770311
72.60363018150908,1863.973,6.792221359761482,1863.968465141136,6.792740460892811
72.7036351817591,1863.922,6.79940556225322,1863.918684175199,6.800354484272696
72.8036401820091,1863.876,6.7941610225251585,1863.8689796215417,6.80787230907434
72.90364518225911,1863.826,6.804390053487542,1863.819353426553,6.81529783278922
73.00365018250913,1863.777,6.814049530198598,1863.7698074821521,6.822632876108983
73.10365518275914,1863.719,6.826715095856872,1863.7203436774673,6.829876522070563
73.20366018300915,1863.653,6.839780040322928,1863.6709630931055,6.837025330883128
73.30366518325917,1863.606,6.84870527910202,1863.6216661134551,6.844073634882605
73.40367018350918,1863.552,6.85005810194337,1863.5724517691165,6.851013426673754
73.5036751837592,1863.516,6.861030826340905,1863.5233177050234,6.857835030457282
73.6036801840092,1863.463,6.875945825848262,1863.4742599158676,6.864527160459311
73.70368518425921,1863.416,6.878295137604952,1863.4252728552406,6.8710782109834065
73.80369018450924,1863.37,6.8851361642309,1863.3763487313608,6.877476196914596
73.90369518475924,1863.316,6.902618633533223,1863.3274780582983,6.883709641519155
74.00370018500925,1863.268,6.915213373425237,1863.2786497260984,6.88976858428766
74.10370518525927,1863.224,6.908966927117252,1863.2298513451774,6.895644831725077
74.20371018550928,1863.181,6.913048459254433,1863.1810697584572,6.901332704285413
74.30371518575929,1863.13,6.910651199416719,1863.1322915356877,6.906829545871134
74.40372018600931,1863.08,6.930339097042779,1863.0835032285402,6.912135940723538
74.50372518625932,1863.034,6.947578283114187,1863.0346919850792,6.917256452046682
74.60373018650932,1862.997,6.947444926014175,1862.9858464202575,6.922199095932031
74.70373518675935,1862.956,6.948817453351316,1862.9369568613981,6.926976022047134
74.80374018700935,1862.917,6.94378218264368,1862.8880158208979,6.931603602639399
74.90374518725937,1862.864,6.9369664839899645,1862.8390186422698,6.936101748339909
75.00375018750938,1862.797,6.937707906794603,1862.7899636759385,6.94049406932415
75.10375518775939,1862.749,6.949963956741083,1862.740852148327,6.944806866863042
75.20376018800941,1862.702,6.9581029023721825,1862.691688086415,6.949069204159126
75.30376518825942,1862.652,6.951323327252193,1862.6424783980572,6.9533124574667085
75.40377018850943,1862.599,6.963921237348976,1862.593232055993,6.9575692133482105
75.50377518875945,1862.548,6.954257401045793,1862.5439600052252,6.961872826812258
75.60378018900946,1862.492,6.966486632442484,1862.494674947223,6.966256710302013
75.70378518925946,1862.432,6.962856884928776,1862.4453900118717,6.970753781588343
75.80379018950948,1862.389,6.95957462780594,1862.3961187019431,6.975395260377841
75.90379518975949,1862.338,6.9677654954798856,1862.346873591353,6.980210762650848
76.0038001900095,1862.29,6.965622728801741,1862.2976666789941,6.985227239918935
76.10380519025952,1862.248,6.968536144700679,1862.2485077681376,6.990468488464864
76.20381019050953,1862.188,6.972994765522237,1862.1994046106786,6.995954985564696
76.30381519075954,1862.127,6.968563051304053,1862.1503624847944,7.001703530712567
76.40382019100956,1862.084,6.972154903614814,1862.101384100016,7.007726502093637
76.50382519125957,1862.039,6.98437391610729,1862.0524692668637,7.014032496179462
76.60383019150959,1861.995,7.004639533908937,1862.0036145704225,7.0206255838250655
76.7038351917596,1861.955,7.011346161758123,1861.9548143460659,7.027505752814558
76.8038401920096,1861.899,7.02558175527121,1861.9060602548552,7.034668974757543
76.90384519225962,1861.857,7.029832928313514,1861.857341872545,7.0421074975234585
77.00385019250963,1861.807,7.038021810139562,1861.8086470817718,7.049809852303885
77.10385519275964,1861.768,7.0504025416993406,1861.7599623184897,7.057761885544896
77.20386019300966,1861.719,7.047271741603275,1861.7112730484832,7.0659462546844045
77.30386519325967,1861.671,7.061215122059388,1861.6625644258556,7.074343493634318
77.40387019350968,1861.622,7.066478330823646,1861.6138211213613,7.082932290283955
77.5038751937597,1861.569,7.086130043966176,1861.5650285220777,7.091689425966345
77.6038801940097,1861.518,7.09856858810275,1861.5161724994693,7.100590635994752
77.70388519425971,1861.478,7.1098182817846975,1861.4672402483488,7.109611120657428
77.80389019450973,1861.425,7.119717339894883,1861.4182197640062,7.118725645110264
77.90389519475974,1861.381,7.121224543573957,1861.3691004897075,7.127908828374471
78.00390019500976,1861.325,7.1304540528636675,1861.3198734316557,7.137135800009556
78.10390519525977,1861.272,7.145069348858677,1861.2705313107529,7.146382094494025
78.20391019550978,1861.222,7.155188047843319,1861.2210685804873,7.15562458969364
78.3039151957598,1861.186,7.168919304888298,1861.1714817386555,7.164840922648536
78.4039201960098,1861.13,7.187426521363515,1861.121768990567,7.174010522541632
78.50392519625981,1861.079,7.203524068121092,1861.071930667505,7.1831140807318175
78.60393019650984,1861.033,7.200965976867257,1861.02196883064,7.192134693211475
78.70393519675984,1860.975,7.202942107222581,1860.9718874527903,7.2010572856566055
78.80394019700985,1860.923,7.212008804764466,1860.9216926980246,7.209868819482159
78.90394519725987,1860.875,7.222837046479728,1860.8713920270939,7.218558379596475
79.00395019750988,1860.827,7.241344557469971,1860.8209948091705,7.227117153006273
79.10395519775989,1860.791,7.247573318014784,1860.7705114044454,7.235538151942252
79.20396019800991,1860.739,7.258848324631116,1860.7199530363441,7.243816322729788
79.30396519825992,1860.688,7.268332408468972,1860.669332055417,7.251948257684835
79.40397019850992,1860.63,7.281284227387383,1860.6186609713668,7.259932142495629
79.50397519875995,1860.564,7.282026091686305,1860.5679522203645,7.267766870277704
79.60398019900995,1860.518,7.283795439192331,1860.5172177905831,7.275452741692906
79.70398519925998,1860.458,7.293300761657901,1860.4664689350286,7.28299020385264
79.80399019950998,1860.404,7.287851809689896,1860.4157153496076,7.290380441262035
79.90399519975999,1860.341,7.296760856708967,1860.3649651698627,7.297624575436917
80.00400020001001,1860.298,7.301451636489841,1860.3142247509516,7.304723686579883
80.10400520026002,1860.249,7.300616343843853,1860.263498296771,7.311679069043103
80.20401020051003,1860.199,7.307899766690833,1860.2127876331767,7.318491777014156
80.30401520076005,1860.15,7.327175444876399,1860.1620922988743,7.3251630004680015
80.40402020101006,1860.11,7.331159526295973,1860.1114096786664,7.331694239772532
80.50402520126006,1860.068,7.352236122432409,1860.0607346706465,7.33808724445852
80.60403020151008,1860.016,7.361775872708963,1860.010060674234,7.344344709854849
80.70403520176009,1859.97,7.372862402079662,1859.9593793097752,7.350470203043054
80.8040402020101,1859.915,7.379280113940666,1859.9086807588674,7.356468973222269
80.90404520226012,1859.866,7.3772653469968414,1859.8579545959374,7.36234726977437
81.00405020251013,1859.819,7.3741602233745915,1859.807189637632,7.3681137417563765
81.10405520276014,1859.77,7.390338287250464,1859.7563746762348,7.373778430638614
81.20406020301016,1859.708,7.389231083137136,1859.7054987065685,7.379353838449568
81.30406520326017,1859.654,7.393124102840411,1859.654551517014,7.3848543896917915
81.40407020351019,1859.594,7.405887117692285,1859.6035238665738,7.390296054977781
81.5040752037602,1859.539,7.395165921059517,1859.552407914234,7.395696954144782
81.6040802040102,1859.495,7.390532795407894,1859.5011975853224,7.401076211722291
81.70408520426022,1859.459,7.400562073248234,1859.4498885262958,7.406454076182402
81.80409020451023,1859.418,7.403463783932478,1859.3984785510643,7.411851189805346
81.90409520476024,1859.371,7.4065753894765685,1859.3469679305863,7.41728843723957
82.00410020501026,1859.313,7.426239357844576,1859.2953590340717,7.422786081374321
82.10410520526027,1859.261,7.4238048869834765,1859.243656565512,7.428363417228527
82.20411020551028,1859.205,7.429197466752386,1859.191867336665,7.434038367548798
82.3041152057603,1859.157,7.428617031453449,1859.1399998830757,7.439827193050812
82.4041202060103,1859.092,7.433675806759398,1859.0880646660405,7.445744002832398
82.50412520626031,1859.039,7.431115595925011,1859.036073987052,7.451800484386146
82.60413020651033,1858.98,7.443090755862127,1858.9840410836061,7.458006193532949
82.70413520676034,1858.921,7.44357165613389,1858.931979796123,7.464368151765659
82.80414020701036,1858.88,7.451281768930723,1858.879904529604,7.4708907350589735
82.90414520726037,1858.825,7.458845420036543,1858.8278295935052,7.477576285857364
83.00415020751038,1858.778,7.472664585005802,1858.775768862252,7.484424921623416
83.1041552077604,1858.715,7.483967864709206,1858.7237356817318,7.491434850210065
83.2041602080104,1858.654,7.500552246334915,1858.6717424015114,7.498603114896877
83.30416520826041,1858.609,7.5066716326212335,1858.6198002725287,7.505925383241523
83.40417020851044,1858.558,7.5142954426878905,1858.567919391815,7.513396282813111
83.50417520876044,1858.503,7.5166475905153325,1858.5161084103604,7.521009837437257
83.60418020901045,1858.452,7.523144023611408,1858.4643747284533,7.528759933428131
83.70418520926047,1858.41,7.533783909829111,1858.412724382175,7.536639900695949
83.80419020951048,1858.354,7.5436519007706,1858.3611624806388,7.544642811695958
83.90419520976049,1858.309,7.550862136206702,1858.3096930541994,7.552762169059595
84.00420021001051,1858.26,7.557803913836353,1858.2583191926788,7.560991160852106
84.10420521026052,1858.217,7.565838420162041,1858.2070428758968,7.569323049207346
84.20421021051052,1858.17,7.5715982460772375,1858.1558656982338,7.577751072643824
84.30421521076055,1858.104,7.57741275106485,1858.104788805998,7.586268009763533
84.40422021101055,1858.051,7.582374232389203,1858.0538127233026,7.594866513905233
84.50422521126058,1857.992,7.585376457368481,1858.0029372373263,7.603539034003293
84.60423021151058,1857.943,7.602614747572052,1857.9521619256773,7.6122773343049435
84.70423521176059,1857.893,7.615481009102403,1857.9014857308598,7.621072761576002
84.80424021201061,1857.834,7.637175132206921,1857.8509067334057,7.62991580130083
84.90424521226062,1857.78,7.637643615670994,1857.8004228653276,7.638796635450513
85.00425021251063,1857.737,7.655444533141082,1857.750031383522,7.64770475559766
85.10425521276065,1857.689,7.652860837621454,1857.6997290325214,7.656629037833667
85.20426021301066,1857.646,7.668812424358799,1857.6495122087003,7.665558054033357
85.30426521326066,1857.597,7.6758446440766255,1857.5993772100987,7.674480329454566
85.40427021351069,1857.548,7.6776100447991,1857.5493200427827,7.683384036507317
85.50427521376069,1857.498,7.691683560833762,1857.4993369507192,7.692257685782195
85.6042802140107,1857.452,7.706211520585198,1857.449424470556,7.701090148655433
85.70428521426072,1857.398,7.7151536601677675,1857.399579402918,7.709870505225703
85.80429021451073,1857.349,7.71823807614147,1857.349799278837,7.718588545739988
85.90429521476075,1857.302,7.7343904737219,1857.300082776946,7.7272345357313705
86.00430021501076,1857.261,7.742020343553729,1857.250429558627,7.7357995705869556
86.10430521526077,1857.212,7.7544217063556635,1857.2008399815004,7.744275260579133
86.20431021551079,1857.166,7.765979912412847,1857.1513156056976,7.75265403065376
86.3043152157608,1857.099,7.776194377714581,1857.101858598547,7.7609287732038315
86.4043202160108,1857.038,7.785920369487487,1857.0524720595304,7.769093086318727
86.50432521626082,1856.984,7.785226008280029,1857.0031599957974,7.777140488592594
86.60433021651083,1856.943,7.79472584508269,1856.9539264233508,7.785065196751991
86.70433521676084,1856.896,7.795459191093249,1856.9047758366733,7.7928614308465995
86.80434021701086,1856.846,7.7932203869773975,1856.855712568928,7.800523944507511
86.90434521726087,1856.802,7.807739493605043,1856.806740583463,7.808047450775713
87.00435021751088,1856.752,7.815529156749385,1856.7578634233819,7.815427422511079
87.1043552177609,1856.705,7.815495825601836,1856.7090840816456,7.82265944931952
87.2043602180109,1856.663,7.823645633590511,1856.660404680375,7.829740185302428
87.30436521826091,1856.604,7.841376409789289,1856.6118262639538,7.836667403357786
87.40437021851093,1856.558,7.850008662415604,1856.563348765369,7.843440246600547
87.50437521876094,1856.504,7.860278875459836,1856.5149711760523,7.850059745740891
87.60438021901096,1856.45,7.88095806358593,1856.4666913140707,7.856529146561504
87.70438521926097,1856.408,7.894019001750656,1856.4185060100283,7.862854073147235
87.80439021951098,1856.362,7.891955144322624,1856.3704108871161,7.869042825890863
87.904395219761,1856.327,7.896459396463696,1856.3224010268348,7.875106826271354
88.00440022001101,1856.283,7.904613273272751,1856.274470250431,7.881060743694082
