Time (hours),Mean surface MP concentration,Standard deviation
31.035103510351036,75979.7,5.622277118748238
31.10711071107111,75979.7,5.622277118748238
31.17911791179118,75979.7,5.622277118748238
31.251125112511254,75979.7,5.622277118748238
31.323132313231323,75979.7,5.622277118748238
31.395139513951396,75978.1,5.539855593785816
31.46714671467147,75978.1,5.539855593785816
31.53915391539154,75978.1,5.539855593785816
31.611161116111614,75978.1,5.539855593785816
31.683168316831683,75978.1,5.539855593785816
31.755175517551756,75978.1,5.539855593785816
31.82718271827183,75978.1,5.539855593785816
31.8991899189919,75978.0,5.639148871948674
31.971197119711974,75978.0,5.639148871948674
32.04320432043205,75978.0,5.639148871948674
32.11521152115212,75978.0,5.639148871948674
32.187218721872185,75978.0,5.639148871948674
32.25922592259226,75977.7,5.367494760127857
32.33123312331233,75977.7,5.367494760127857
32.4032403240324,75977.7,5.367494760127857
32.475247524752476,75977.7,5.367494760127857
32.54725472547255,75977.7,5.367494760127857
32.61926192619262,75977.7,5.367494760127857
32.691269126912694,75977.7,5.367494760127857
32.76327632763277,75977.7,5.367494760127857
32.83528352835284,75977.7,5.367494760127857
32.907290729072905,75977.7,5.367494760127857
32.97929792979298,75977.7,5.367494760127857
33.05130513051305,75977.7,5.367494760127857
33.12331233123312,75977.2,5.344155686354955
33.195319531953196,75977.2,5.344155686354955
33.26732673267327,75977.2,5.344155686354955
33.33933393339334,75976.9,5.337602458033007
33.411341134113414,75976.9,5.337602458033007
33.48334833483349,75976.9,5.337602458033007
33.55535553555356,75976.9,5.337602458033007
33.627362736273625,75976.9,5.337602458033007
33.6993699369937,75976.9,5.337602458033007
33.77137713771377,75976.9,5.337602458033007
33.84338433843384,75976.9,5.337602458033007
33.915391539153916,75976.9,5.337602458033007
33.98739873987399,75976.9,5.337602458033007
34.05940594059406,75976.8,5.491812087098392
34.131413141314134,75976.8,5.491812087098392
34.20342034203421,75976.8,5.491812087098392
34.27542754275428,75976.8,5.491812087098392
34.347434743474345,75976.8,5.491812087098392
34.41944194419442,75976.8,5.491812087098392
34.49144914491449,75976.1,5.412023651093923
34.56345634563456,75976.1,5.412023651093923
34.635463546354636,75976.1,5.412023651093923
34.70747074707471,75976.1,5.412023651093923
34.77947794779478,75976.1,5.412023651093923
34.851485148514854,75976.1,5.412023651093923
34.92349234923493,75976.1,5.412023651093923
34.995499549955,75975.8,5.564171097297422
35.067506750675065,75975.8,5.564171097297422
35.13951395139514,75975.8,5.564171097297422
35.21152115211521,75975.8,5.564171097297422
35.28352835283528,75975.8,5.564171097297422
35.355535553555356,75975.8,5.564171097297422
35.42754275427543,75975.8,5.564171097297422
35.4995499549955,75975.8,5.564171097297422
35.571557155715574,75975.3,5.692978130996113
35.64356435643565,75975.3,5.692978130996113
35.71557155715572,75975.3,5.692978130996113
35.787578757875785,75975.3,5.692978130996113
35.85958595859586,75975.3,5.692978130996113
35.93159315931593,75975.3,5.692978130996113
36.003600360036,75975.3,5.692978130996113
36.075607560756076,75975.3,5.692978130996113
36.14761476147615,75975.1,5.940538696111659
36.21962196219622,75975.1,5.940538696111659
36.291629162916294,75975.1,5.940538696111659
36.36363636363637,75975.1,5.940538696111659
36.43564356435644,75975.1,5.940538696111659
36.507650765076505,75975.1,5.940538696111659
36.57965796579658,75975.1,5.940538696111659
36.65166516651665,75975.1,5.940538696111659
36.72367236723672,75974.8,6.128621378417824
36.795679567956796,75974.8,6.128621378417824
36.86768676867687,75974.8,6.128621378417824
36.93969396939694,75974.8,6.128621378417824
37.011701170117014,75974.8,6.128621378417824
37.08370837083709,75974.8,6.128621378417824
37.15571557155716,75974.8,6.128621378417824
37.22772277227723,75974.8,6.128621378417824
37.2997299729973,75974.8,6.128621378417824
37.37173717371737,75974.8,6.128621378417824
37.44374437443744,75974.8,6.128621378417824
37.515751575157516,75974.8,6.128621378417824
37.58775877587759,75974.8,6.128621378417824
37.65976597659766,75974.8,6.128621378417824
37.731773177317734,75974.8,6.128621378417824
37.80378037803781,75974.8,6.128621378417824
37.87578757875788,75974.8,6.128621378417824
37.94779477947795,75974.4,6.26418390534633
38.01980198019802,75974.4,6.26418390534633
38.09180918091809,75974.4,6.26418390534633
38.16381638163816,75974.4,6.26418390534633
38.235823582358236,75974.4,6.26418390534633
38.30783078307831,75973.5,6.989277502002621
38.37983798379838,75972.7,7.430343195303969
38.451845184518454,75972.7,7.430343195303969
38.52385238523853,75972.7,7.430343195303969
38.5958595859586,75972.7,7.430343195303969
38.66786678667867,75972.4,7.761443164772902
38.73987398739874,75972.4,7.761443164772902
38.81188118811881,75972.4,7.761443164772902
38.88388838883888,75972.4,7.761443164772902
38.955895589558956,75972.4,7.761443164772902
39.02790279027903,75972.4,7.761443164772902
39.0999099909991,75972.4,7.761443164772902
39.171917191719174,75972.4,7.761443164772902
39.24392439243925,75972.4,7.761443164772902
39.31593159315932,75972.4,7.761443164772902
39.38793879387939,75972.4,7.761443164772902
39.45994599459946,75972.4,7.761443164772902
39.53195319531953,75972.4,7.761443164772902
39.603960396039604,75972.4,7.761443164772902
39.675967596759676,75972.4,7.761443164772902
39.74797479747975,75972.4,7.761443164772902
39.81998199819982,75972.3,7.874642849044013
39.891989198919894,75972.3,7.874642849044013
39.96399639963997,75972.3,7.874642849044013
40.03600360036004,75972.3,7.874642849044013
40.10801080108011,75972.3,7.874642849044013
40.18001800180018,75972.3,7.874642849044013
40.25202520252025,75972.3,7.874642849044013
40.324032403240324,75972.3,7.874642849044013
40.396039603960396,75972.3,7.874642849044013
40.46804680468047,75972.3,7.874642849044013
40.54005400540054,75972.3,7.874642849044013
40.612061206120615,75972.3,7.874642849044013
40.68406840684069,75972.0,7.874007874011811
40.75607560756076,75971.7,7.912648102879339
40.82808280828083,75971.7,7.912648102879339
40.9000900090009,75971.7,7.912648102879339
40.97209720972097,75971.7,7.912648102879339
41.044104410441044,75971.7,7.912648102879339
41.11611161116112,75971.7,7.912648102879339
41.18811881188119,75971.7,7.912648102879339
41.26012601260126,75970.2,7.586830695356262
41.332133213321335,75970.2,7.586830695356262
41.40414041404141,75970.2,7.586830695356262
41.47614761476148,75970.2,7.586830695356262
41.54815481548155,75970.2,7.586830695356262
41.62016201620162,75970.2,7.586830695356262
41.69216921692169,75969.9,7.634788798650557
41.764176417641764,75969.9,7.634788798650557
41.83618361836184,75969.9,7.634788798650557
41.90819081908191,75969.9,7.634788798650557
41.98019801980198,75969.2,7.467261881037787
42.052205220522055,75969.2,7.467261881037787
42.12421242124213,75969.2,7.467261881037787
42.1962196219622,75969.2,7.467261881037787
42.26822682268227,75969.2,7.467261881037787
42.34023402340234,75969.2,7.467261881037787
42.41224122412241,75969.2,7.467261881037787
42.484248424842484,75969.2,7.467261881037787
42.55625562556256,75969.2,7.467261881037787
42.62826282628263,75969.2,7.467261881037787
42.7002700270027,75969.2,7.467261881037787
42.772277227722775,75969.2,7.467261881037787
42.84428442844285,75969.2,7.467261881037787
42.91629162916292,75969.2,7.467261881037787
42.98829882988299,75968.9,7.175653280364096
43.06030603060306,75968.9,7.175653280364096
43.13231323132313,75968.9,7.175653280364096
43.204320432043204,75968.9,7.175653280364096
43.27632763276328,75968.9,7.175653280364096
43.34833483348335,75968.9,7.175653280364096
43.42034203420342,75968.9,7.175653280364096
43.492349234923495,75968.5,7.379024325749306
43.56435643564357,75968.5,7.379024325749306
43.63636363636364,75968.5,7.379024325749306
43.70837083708371,75968.2,7.547184905645283
43.78037803780378,75968.2,7.547184905645283
43.85238523852385,75968.2,7.547184905645283
43.924392439243924,75968.2,7.547184905645283
43.996399639964,75968.2,7.547184905645283
44.06840684068407,75968.2,7.547184905645283
44.14041404140414,75968.2,7.547184905645283
44.212421242124215,75968.2,7.547184905645283
44.28442844284429,75968.2,7.547184905645283
44.35643564356436,75968.2,7.547184905645283
44.42844284428443,75968.2,7.547184905645283
44.5004500450045,75968.2,7.547184905645283
44.57245724572457,75968.2,7.547184905645283
44.644464446444644,75967.2,8.24378553820998
44.71647164716472,75967.2,8.24378553820998
44.78847884788479,75967.2,8.24378553820998
44.86048604860486,75967.2,8.24378553820998
44.932493249324935,75967.2,8.24378553820998
45.00450045004501,75967.2,8.24378553820998
45.07650765076508,75967.2,8.24378553820998
45.14851485148515,75967.2,8.24378553820998
45.22052205220522,75967.2,8.24378553820998
45.29252925292529,75967.2,8.24378553820998
45.364536453645364,75967.2,8.24378553820998
45.43654365436544,75967.1,8.371977066380438
45.50855085508551,75967.1,8.371977066380438
45.58055805580558,75967.1,8.371977066380438
45.652565256525655,75967.1,8.371977066380438
45.72457245724573,75967.1,8.371977066380438
45.7965796579658,75967.1,8.371977066380438
45.86858685868587,75967.1,8.371977066380438
45.94059405940594,75966.8,8.541662601625049
46.01260126012601,75966.8,8.541662601625049
46.084608460846084,75966.8,8.541662601625049
46.15661566156616,75966.8,8.541662601625049
46.22862286228623,75966.8,8.541662601625049
46.3006300630063,75966.8,8.541662601625049
46.372637263726375,75966.8,8.541662601625049
46.44464446444645,75965.6,8.685620300243386
46.51665166516652,75965.6,8.685620300243386
46.58865886588659,75964.7,8.532877591996735
46.66066606660666,75964.7,8.532877591996735
46.73267326732673,75964.7,8.532877591996735
46.804680468046804,75964.7,8.532877591996735
46.87668766876688,75964.7,8.532877591996735
46.94869486948695,75964.7,8.532877591996735
47.02070207020702,75964.7,8.532877591996735
47.092709270927095,75964.7,8.532877591996735
47.16471647164717,75964.7,8.532877591996735
47.23672367236724,75964.7,8.532877591996735
47.30873087308731,75964.7,8.532877591996735
47.38073807380738,75964.7,8.532877591996735
47.45274527452745,75964.7,8.532877591996735
47.524752475247524,75964.7,8.532877591996735
47.5967596759676,75964.7,8.532877591996735
47.66876687668767,75964.7,8.532877591996735
47.74077407740774,75964.7,8.532877591996735
47.812781278127815,75964.6,8.63944442658207
47.88478847884789,75964.6,8.63944442658207
47.95679567956796,75964.6,8.63944442658207
48.02880288028803,75964.6,8.63944442658207
48.1008100810081,75964.6,8.63944442658207
48.17281728172817,75964.4,8.890444308357146
48.244824482448244,75964.4,8.890444308357146
48.31683168316832,75964.1,9.180958555619341
48.38883888388839,75962.2,9.314504817756013
48.46084608460846,75962.2,9.314504817756013
48.532853285328535,75962.2,9.314504817756013
48.60486048604861,75962.2,9.314504817756013
48.67686768676868,75962.2,9.314504817756013
48.74887488748875,75962.2,9.314504817756013
48.82088208820882,75962.2,9.314504817756013
48.89288928892889,75962.2,9.314504817756013
48.964896489648964,75962.2,9.314504817756013
49.03690369036904,75962.2,9.314504817756013
49.10891089108911,75962.2,9.314504817756013
49.18091809180918,75962.2,9.314504817756013
49.252925292529255,75962.2,9.314504817756013
49.32493249324933,75962.2,9.314504817756013
49.3969396939694,75962.2,9.314504817756013
49.46894689468947,75962.2,9.314504817756013
