CruiseTow,CruiseName,Event,GridLine,GridStation,NorthSouthFar,Offshore,VolumeFilteredM3,DensES7,DensES8,DensES9,DensES10,DensES11,DensES12,DensES13,DensES14,DensES15,DensES16,DensES17,DensES18,DensES19,DensES20,DensES21,DensES22,DensES23,DensES24,DensES25,DensES26,DensES27,DensES28,DensES29,DensES30,DensES31,DensES32,DensES33,DensES34,DensES35,DensES36,DensES37,DensES38,DensES39,DensES40,DensES41,DensES42,DensES43,DensES44,DensES45,DensES46,DensES47,DensES48,DensES49,DensES50,DensES51,DensES52,DensES53,DensES54,DensES55,DensES56,DensES57,DensES58,DensES59,DensES60,DensES61,DensES62,DensES63,DensES64,DensES65
190126,LMG11-01,518,-120,-25,Far South,Coast,4119.3,0,0,0,0,0.2428,0.4855,0.2428,0.4855,0.7283,0.7283,1.2138,1.2138,1.2138,0.7283,1.4566,1.2138,1.6993,1.4566,0.2428,2.4276,1.4566,1.9421,0.2428,1.9421,0.971,1.6993,0.7283,0,0,0.2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2428,0,0,0.2428,0,0,0,0,0,0,0,0,0,0,0
190127,LMG11-01,519,-120,-25,Far South,Coast,4291.1,0,0,0,0,0,0,0.4358,1.3074,0.8716,3.4863,3.4863,4.3579,3.9221,4.7937,4.3579,3.0505,2.1789,1.7432,1.7432,0.8716,0.8716,0.4358,1.3074,0,0.4358,0.8716,1.3074,0,0.4358,0.8716,0.4358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190129,LMG11-01,534,-114,-21,Far South,Coast,4092.8,0,0,0,0,0,0,0,0,0,0,0.733,0.4887,0.9773,0,0.2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190130,LMG11-01,535,-114,-21,Far South,Coast,3425.4,0,0,0,0,0.2919,0,0.2919,0.2919,0.5839,0.5839,0.2919,0.2919,0.5839,0.2919,0,0,0,0,0,0.2919,0,0,0.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190139,LMG11-01,562,-100,0,Far South,Coast,2770.6,0,0,0,0,0,0,0,0,0,0,0,1.3135,2.627,0,2.627,5.254,2.627,0,3.9405,5.254,5.254,9.1946,9.1946,6.5675,11.8216,7.881,14.4486,7.881,9.1946,6.5675,7.881,2.627,2.627,1.3135,1.3135,0,0,0.3609,0,0,0,0.3609,0,0,0,0.3609,0,0,0,0,0,0,0,0,0,0,0,0,0
190140,LMG11-01,566,0,100,Far South,Shelf,5045.5,0,0,0,0,0,0,0,0.327,0.327,1.3081,0,0,0.327,0.6541,0.327,0,0,0.327,0.327,0,0,0.327,0,0.327,0.6541,0.6541,0.6541,1.9622,0.6541,1.6351,0.6541,0.6541,0.327,0.6541,0,0,0,0.327,0.6541,0,0.327,0.6541,0.9811,0.9811,0.6541,3.2703,1.6351,2.9432,2.9432,0.9811,2.2892,0.327,0.327,0.327,0,0,0,0,0
200014,LMG12-01,54,616,40,North,Coast,8988.2,0,0,0,3.5691,0.8923,10.7074,8.9228,15.1688,11.5997,8.0306,8.9228,4.4614,5.3537,1.7846,1.7846,0.8923,2.6769,0,0,2.6769,0.8923,0.8923,0,0,0.1113,0.1113,0,0,0,0,0.445,0.3338,0.445,0.2225,0.445,0.445,0.3338,0.1113,0.2225,0,0.1113,0.1113,0,0,0.1113,0.1113,0,0,0,0,0,0,0,0,0,0,0,0,0
200016,LMG12-01,65,616,37,North,Coast,8458.1,0,0,0,0,10.9718,15.3605,28.5266,41.6927,37.304,26.3323,15.3605,21.9435,4.3887,4.3887,4.3887,2.1944,2.1944,0,0,4.3887,0,0,0,0,0,0,0.1182,0,0,0.2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200017,LMG12-01,71,610,38,North,Coast,9932.6,0,0.4913,0.9826,2.7022,5.4045,3.6849,1.4739,3.4392,1.4739,0.9826,1.9653,0.4913,0.4913,0.2457,0.4913,0,0.2457,0,0,0,0,0,0.1064,0.2129,0,0,0,0,0.1064,0.2129,0.3193,0.2129,0.3193,0.2129,0.5322,0.3193,0.1064,0.4257,0,0.1064,0.1064,0.2129,0,0.1064,0.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200019,LMG12-01,104,600,100,North,Shelf,13629.3,0,0,0,0,0,0,0,0,0,4.3393,4.3393,8.6786,13.0178,39.0535,26.0357,34.7142,60.7499,56.4106,56.9587,31.4711,26.0357,13.0178,13.0178,9.2266,4.3393,0,0,1.6443,4.9328,2.1923,4.3847,4.3847,4.9328,5.4808,4.3847,3.2885,4.9328,3.2885,1.6443,2.7404,2.7404,0,0.5481,0.5481,0.5481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200023,LMG12-01,132,500,200,North,Slope,7242.7,0,0,0,0,0,0,0,0.1381,0,0.1381,0.4142,0.6904,0.5523,0.4142,0,0.5523,0.2761,0,0,0.2761,0,0,0,0,0,0,0,0,0,0,0.1381,0.2761,0,0,0.1381,0.5523,0.6904,0.9665,2.2091,1.933,0.8284,0.6904,1.2426,0.5523,0.5523,0.4142,0.4142,0.1381,0,0.1381,0,0,0.1381,0,0,0,0,0,0
200027,LMG12-01,158,500,100,North,Shelf,3341.4,0,0,0,0,0,0,0,0,0,2.3463,0,2.3463,7.039,23.4633,2.3463,23.4633,7.039,14.078,21.117,35.195,37.5414,16.4243,18.7707,7.039,2.3463,0,6.7181,12.7943,4.0508,22.6005,10.1271,24.305,18.2287,22.2795,26.3304,24.305,16.2033,14.1779,6.0762,2.3463,2.0254,0,2.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200029,LMG12-01,172,500,60,North,Shelf,5107.4,0,0,0,0,0.37,0.37,1.1101,1.1101,2.5903,6.2908,6.6609,4.4406,5.5507,3.7005,1.4802,0.7401,0.37,1.1101,0.37,0,0,0.37,0,0,0,0.37,0,0.1958,0,0,0,0,0,0.1958,0,0.1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200031,LMG12-01,183,400,40,North,Coast,3193.5,0,0,0,0,0,3.5666,0,0,7.1332,0,0,17.833,17.833,35.666,39.2326,42.7992,53.499,35.666,32.0994,24.9662,17.833,7.1332,3.5666,7.1332,3.5666,0,0,0,0,0,3.5666,0,0.3131,0.3131,4.1929,0.9394,0.6263,0.6263,0,0.3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
