time_hours,mean_accum_20,std_accum_20,mean_accum_40,std_accum_40,mean_accum_60,std_accum_60,mean_accum_80,std_accum_80
307.97479747974796,203.6,30.351935687860173,189.0,25.853433040894203,168.4,23.804201309852846,152.2,22.973027662891976
308.04680468046803,203.6,30.351935687860173,189.2,25.953034504658604,168.4,23.804201309852846,152.3,23.147570066855828
308.11881188118815,203.7,30.5026228380446,189.2,25.953034504658604,168.4,23.804201309852846,152.3,23.147570066855828
308.1908190819082,203.7,30.5026228380446,189.2,25.953034504658604,168.6,23.58474082961269,152.3,23.147570066855828
308.2628262826283,203.7,30.5026228380446,189.3,25.822664463606387,168.6,23.58474082961269,152.4,23.065992283012665
308.33483348334835,203.7,30.5026228380446,189.4,25.946868789894477,168.8,23.72256309929431,152.4,23.065992283012665
308.4068406840684,203.7,30.5026228380446,189.4,25.946868789894477,168.8,23.72256309929431,152.6,23.333238095043733
308.4788478847885,203.8,30.511637124218687,189.4,25.946868789894477,168.9,23.75057894031217,152.6,23.333238095043733
308.55085508550854,203.8,30.511637124218687,189.4,25.946868789894477,169.0,23.71497417245062,152.6,23.333238095043733
308.6228622862286,203.8,30.511637124218687,189.4,25.946868789894477,169.0,23.71497417245062,152.6,23.333238095043733
308.6948694869487,204.0,30.623520372419627,189.4,25.946868789894477,169.1,23.65354096113307,152.6,23.333238095043733
308.7668766876688,204.1,30.46128690649822,189.4,25.946868789894477,169.2,23.718347328597748,152.6,23.333238095043733
308.83888388838886,204.1,30.46128690649822,189.4,25.946868789894477,169.3,23.66030430911657,152.6,23.333238095043733
308.91089108910893,204.1,30.46128690649822,189.6,25.896717938765907,169.4,23.875510465747112,152.6,23.333238095043733
308.982898289829,204.2,30.47228248753283,189.7,26.0731662825979,169.4,23.875510465747112,152.7,23.469341703592796
309.05490549054906,204.3,30.532114240582818,189.8,26.056860900730157,169.5,23.80021008310641,152.7,23.469341703592796
309.1269126912691,204.4,30.50639277266324,189.9,26.23528158796852,169.6,23.829393613770367,152.7,23.469341703592796
309.1989198919892,204.5,30.519665791092798,189.9,26.23528158796852,169.6,23.829393613770367,152.7,23.469341703592796
309.27092709270926,204.5,30.519665791092798,189.9,26.23528158796852,169.6,23.829393613770367,152.9,23.700000000000003
309.3429342934294,204.7,30.6073520579615,189.9,26.23528158796852,169.7,23.757314663067454,153.0,23.660092983756424
309.41494149414945,204.8,30.557486807654847,189.9,26.23528158796852,169.7,23.757314663067454,153.0,23.660092983756424
309.4869486948695,204.9,30.395558886126768,190.0,26.195419446918578,169.7,23.757314663067454,153.1,23.573077864377403
309.5589558955896,205.0,30.548322376196047,190.1,26.174223961752908,169.7,23.757314663067454,153.1,23.573077864377403
309.63096309630964,205.2,30.40328929573246,190.1,26.174223961752908,170.0,23.912339910598458,153.2,23.536354857963882
309.7029702970297,205.3,30.587742643091534,190.4,26.12738027434056,170.1,24.1306858584666,153.2,23.536354857963882
309.7749774977498,205.5,30.539318918404188,190.5,26.116086996332356,170.1,24.1306858584666,153.2,23.536354857963882
309.84698469846984,205.6,30.558795787792427,190.5,26.116086996332356,170.2,24.044957891416654,153.2,23.536354857963882
309.9189918991899,205.6,30.558795787792427,190.5,26.116086996332356,170.3,24.075090861718465,153.3,23.63070037049262
309.99099909991,205.7,30.51245647272602,190.6,26.10440575841557,170.4,24.108919511251433,153.3,23.63070037049262
310.0630063006301,205.9,30.415292206388546,190.6,26.10440575841557,170.6,24.23716154998353,153.4,23.546549641083296
310.13501350135016,205.9,30.415292206388546,190.6,26.10440575841557,170.7,24.153881675623072,153.4,23.546549641083296
310.2070207020702,206.0,30.35127674415032,190.6,26.10440575841557,170.7,24.153881675623072,153.4,23.546549641083296
310.2790279027903,206.0,30.35127674415032,190.6,26.10440575841557,170.7,24.153881675623072,153.4,23.546549641083296
310.35103510351036,206.0,30.35127674415032,190.7,26.096168301112712,170.7,24.153881675623072,153.4,23.546549641083296
310.4230423042304,206.2,30.524744061171095,190.7,26.096168301112712,170.7,24.153881675623072,153.5,23.51276249188938
310.4950495049505,206.3,30.47966535249362,190.7,26.096168301112712,170.7,24.153881675623072,153.5,23.51276249188938
310.56705670567055,206.4,30.417757971290385,190.8,26.056860900730157,170.7,24.153881675623072,153.5,23.51276249188938
310.6390639063907,206.5,30.371861977824146,191.0,26.01153590236455,170.7,24.153881675623072,153.5,23.51276249188938
310.71107110711074,206.6,30.555523232306136,191.0,26.01153590236455,170.8,24.256133245016606,153.5,23.51276249188938
310.7830783078308,206.6,30.555523232306136,191.2,25.972292929196684,170.8,24.256133245016606,153.5,23.51276249188938
310.85508550855087,206.7,30.51245647272602,191.3,25.838150088580257,171.0,24.39672109116305,153.6,23.61016730139793
310.92709270927094,206.7,30.51245647272602,191.3,25.838150088580257,171.1,24.610770000144246,153.6,23.61016730139793
310.999099909991,206.8,30.452586097078854,191.3,25.838150088580257,171.2,24.826598639362583,153.6,23.61016730139793
311.07110711071107,206.8,30.452586097078854,191.3,25.838150088580257,171.2,24.826598639362583,153.6,23.61016730139793
311.14311431143113,206.9,30.507212262020925,191.3,25.838150088580257,171.3,24.690281488877357,153.6,23.61016730139793
311.2151215121512,207.0,30.44010512465422,191.4,25.958428303732106,171.3,24.690281488877357,153.7,23.528918377180027
