Time,Mean_Accumulation,Std_Accumulation,Mean_Rising,Std_Rising
557.3357335733574,174.374,7.277233265465658,58.249,6.884693094103763
557.4077407740774,174.4,7.277362159464113,58.257,6.8851253438118345
557.4797479747975,174.425,7.2806850639208305,58.271,6.884443259988416
557.5517551755175,174.453,7.2759735431074795,58.283,6.884105679026138
557.6237623762377,174.476,7.268660399275784,58.293,6.888334414065572
557.6957695769577,174.499,7.2728260669426135,58.3,6.89115374955456
557.7677767776778,174.526,7.264387379538621,58.306,6.890164294122463
557.8397839783978,174.551,7.270859577794083,58.317,6.892786881951289
557.9117911791179,174.575,7.275051546209137,58.327,6.892754964453604
557.983798379838,174.598,7.286178422190877,58.331,6.898075021337469
558.0558055805581,174.623,7.284014758359564,58.335,6.897736947724236
558.1278127812782,174.648,7.276956506672284,58.345,6.895068890156203
558.1998199819982,174.682,7.278384161336905,58.356,6.896322498259484
558.2718271827183,174.708,7.286064506988664,58.366,6.895363949785419
558.3438343834383,174.746,7.288860267558979,58.376,6.895986078872259
558.4158415841584,174.771,7.2900314814135,58.387,6.901393410029613
558.4878487848785,174.802,7.284284178970499,58.393,6.896415808229717
558.5598559855986,174.833,7.292675160734911,58.407,6.892122387189602
558.6318631863187,174.856,7.300908436626236,58.427,6.895989486650918
558.7038703870387,174.875,7.29940922267001,58.44,6.90046375253142
558.7758775877588,174.901,7.306106966093508,58.448,6.899948985318659
558.8478847884788,174.927,7.301347204454801,58.463,6.899176110232296
558.919891989199,174.946,7.302539558263251,58.476,6.900537950044179
558.991899189919,174.966,7.305261391627265,58.486,6.896796647719867
559.0639063906391,174.992,7.301365351768109,58.497,6.901593366752353
559.1359135913591,175.022,7.310644020878043,58.512,6.905204993336562
559.2079207920792,175.058,7.319742891659474,58.52,6.90069561710991
559.2799279927993,175.087,7.323757983439917,58.529,6.901822875154074
559.3519351935194,175.119,7.324536777162074,58.541,6.9032107747047675
559.4239423942395,175.148,7.316016402387299,58.555,6.902678827817501
559.4959495949595,175.178,7.310014774266894,58.559,6.9026457970838955
559.5679567956796,175.211,7.297566649233158,58.57,6.900079709684519
559.6399639963996,175.242,7.295165248299719,58.576,6.899146613893637
559.7119711971197,175.267,7.2994322381949726,58.59,6.897093590781557
559.7839783978397,175.297,7.287577855501783,58.597,6.893082837163643
559.8559855985599,175.329,7.273703252126799,58.606,6.895416158579554
559.92799279928,175.355,7.283610025255324,58.617,6.893207598788824
560.0,175.38,7.28831942219878,58.629,6.892268059209536
560.0720072007201,175.414,7.2904460768872,58.64,6.891618097370171
560.1440144014401,175.453,7.292858904435217,58.649,6.892299978962032
560.2160216021603,175.488,7.288062568337356,58.656,6.893305738178158
560.2880288028803,175.521,7.292568751818522,58.663,6.889516020737588
560.3600360036004,175.546,7.2946476268562845,58.672,6.890313200428553
560.4320432043204,175.571,7.290881908246776,58.681,6.889356936608816
560.5040504050405,175.594,7.29446118640712,58.69,6.891146493871685
560.5760576057606,175.623,7.296771272282007,58.699,6.884068491815006
560.6480648064806,175.657,7.288576747212034,58.707,6.880199924420804
560.7200720072008,175.69,7.293963257379358,58.714,6.885652038841314
560.7920792079208,175.713,7.295932496946505,58.719,6.8846233738673055
