lat_bins,long_bins,mean_standardised,Area_km2,no_krill,MP_removal_one_month,conc_change_month
"(50, 54]","(60, 68]",,243437.86665891207,,,
"(50, 54]","(68, 76]",,243437.86665891207,,,
"(50, 54]","(76, 84]",,243437.86665891207,,,
"(50, 54]","(84, 92]",,243437.86665891207,,,
"(50, 54]","(92, 100]",,243437.86665891207,,,
"(50, 54]","(100, 108]",,243437.86665891207,,,
"(50, 54]","(108, 116]",,243437.86665891207,,,
"(50, 54]","(116, 124]",,243437.86665891207,,,
"(50, 54]","(124, 132]",,243437.86665891207,,,
"(50, 54]","(132, 140]",,243437.86665891207,,,
"(50, 54]","(140, 148]",,243437.86665891207,,,
"(50, 54]","(148, 156]",,243437.86665891207,,,
"(50, 54]","(156, 164]",,243437.86665891207,,,
"(50, 54]","(164, 172]",,243437.86665891207,,,
"(50, 54]","(172, 180]",,243437.86665891207,,,
"(54, 58]","(-180, -172]",,221109.70545901926,,,
"(54, 58]","(-172, -164]",,221109.70545901926,,,
"(54, 58]","(-164, -156]",,221109.70545901926,,,
"(54, 58]","(-156, -148]",,221109.70545901926,,,
"(54, 58]","(-148, -140]",,221109.70545901926,,,
"(54, 58]","(-140, -132]",,221109.70545901926,,,
"(54, 58]","(-132, -124]",,221109.70545901926,,,
"(54, 58]","(-124, -116]",,221109.70545901926,,,
"(54, 58]","(-116, -108]",,221109.70545901926,,,
"(54, 58]","(-108, -100]",,221109.70545901926,,,
"(54, 58]","(-100, -92]",,221109.70545901926,,,
"(54, 58]","(-92, -84]",,221109.70545901926,,,
"(54, 58]","(-84, -76]",,221109.70545901926,,,
"(54, 58]","(-76, -68]",,221109.70545901926,,,
"(54, 58]","(-68, -60]",,221109.70545901926,,,
"(54, 58]","(-60, -52]",,221109.70545901926,,,
"(54, 58]","(-52, -44]",,221109.70545901926,,,
"(54, 58]","(-44, -36]",,221109.70545901926,,,
