MP ID,Time (hours),Depth (m)
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.62826282628265,106.58490935046677
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.7002700270027,106.5187911866504
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.7722772277228,106.45267302283403
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.84428442844285,106.38655485901765
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.9162916291629,106.32043669520128
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",282.988298829883,106.25431853138491
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.06030603060304,106.18820036756853
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.13231323132317,106.1220822037521
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.20432043204323,106.05596403993573
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.2763276327633,105.98984587611935
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.34833483348336,105.92372771230296
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.42034203420343,105.85760954848661
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.4923492349235,105.79149138467022
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.56435643564356,105.72537322085384
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.6363636363636,105.65925505703747
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.7083708370837,105.5931368932211
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.7803780378038,105.52701872940466
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.8523852385239,105.46090056558829
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.92439243924395,105.39478240177192
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",283.996399639964,105.32866423795554
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.0684068406841,105.26254607413917
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.14041404140414,105.1964279103228
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.2124212421242,105.13030974650641
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.2844284428443,105.06419158269003
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.35643564356434,104.99807341887366
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.42844284428446,104.93195525505723
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.5004500450045,104.86583709124085
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.5724572457246,104.79971892742448
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.64446444644466,104.73360076360811
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.7164716471647,104.66748259979173
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.7884788478848,104.60136443597536
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.86048604860486,104.53524627215899
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",284.9324932493249,104.4691281083426
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.004500450045,104.40300994452622
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.0765076507651,104.3368917807098
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.1485148514852,104.27077361689342
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.22052205220524,104.20465545307704
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.2925292529253,104.13853728926067
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.36453645364537,104.0724191254443
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.43654365436544,104.00630096162791
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.5085508550855,103.94018279781154
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.58055805580557,103.87406463399518
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.65256525652563,103.80794647017879
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.72457245724576,103.74182830636236
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.7965796579658,103.675710142546
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.8685868586859,103.60959197872961
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",285.94059405940595,103.54347381491323
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.012601260126,103.47735565109687
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.0846084608461,103.41123748728049
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.15661566156615,103.3451193234641
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.2286228622862,103.27900115964773
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.3006300630063,103.21288299583136
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.3726372637264,103.14676483201492
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.44464446444647,103.08064666819855
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.51665166516653,103.01452850438218
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.5886588658866,102.9484103405658
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.66066606660667,102.88229217674943
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.73267326732673,102.81617401293306
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.8046804680468,102.75005584911668
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.87668766876686,102.6839376853003
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",286.948694869487,102.61781952148388
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.02070207020705,102.5517013576675
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.0927092709271,102.48558319385111
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.1647164716472,102.41946503003474
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.23672367236725,102.35334686621837
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.3087308730873,102.28722870240199
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.3807380738074,102.22111053858562
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.45274527452744,102.15499237476925
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.5247524752475,102.08887421095287
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.59675967596763,102.02275604713644
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.6687668766877,101.95663788332007
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.74077407740776,101.89051971950369
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.81278127812783,101.8244015556873
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.8847884788479,101.75828339187093
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",287.95679567956796,101.69216522805456
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.028802880288,101.62604706423818
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.1008100810081,101.55992890042181
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.17281728172816,101.49381073660544
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.2448244824483,101.427692572789
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.31683168316835,101.36157440897263
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.3888388838884,101.29545624515626
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.4608460846085,101.22933808133988
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.53285328532854,101.16321991752349
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.6048604860486,101.09710175370714
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.6768676867687,101.03098358989075
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.74887488748874,100.96486542607437
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.8208820882088,100.898747262258
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.8928892889289,100.83262909844157
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",288.964896489649,100.76651093462519
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.03690369036906,100.70039277080882
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.1089108910891,100.63427460699245
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.1809180918092,100.56815644317606
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.25292529252926,100.5020382793597
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.3249324932493,100.43592011554333
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.3969396939694,100.36980195172694
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.46894689468945,100.30368378791056
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.5409540954096,100.23756562409415
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.61296129612964,100.17144746027776
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.6849684968497,100.10532929646138
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.75697569756977,100.03921113264501
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.82898289828984,99.97309296882864
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.9009900990099,99.90697480501225
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",289.97299729972997,99.84085664119588
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.04500450045003,99.77473847737951
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.1170117011701,99.70862031356313
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.1890189018902,99.6425021497467
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.2610261026103,99.57638398593033
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.33303330333035,99.51026582211395
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.4050405040504,99.44414765829757
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.4770477047705,99.3780294944812
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.54905490549055,99.31191133066483
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.6210621062106,99.24579316684844
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.6930693069307,99.17967500303207
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.76507650765075,99.1135568392157
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.83708370837087,99.04743867539926
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.90909090909093,98.9813205115829
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",290.981098109811,98.91520234776652
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.05310531053107,98.84908418395014
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.12511251125113,98.78296602013376
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.1971197119712,98.7168478563174
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.26912691269126,98.65072969250102
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.34113411341133,98.58461152868463
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.4131413141314,98.51849336486826
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.4851485148515,98.45237520105184
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.5571557155716,98.38625703723545
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.62916291629165,98.32013887341908
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.7011701170117,98.25402070960271
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.7731773177318,98.18790254578633
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.84518451845184,98.12178438196996
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.9171917191719,98.05566621815359
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",291.989198919892,97.9895480543372
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.06120612061204,97.92342989052082
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.13321332133216,97.85731172670441
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.20522052205223,97.79119356288803
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.2772277227723,97.72507539907164
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.34923492349236,97.65895723525527
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.4212421242124,97.5928390714389
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.4932493249325,97.52672090762252
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.56525652565256,97.46060274380615
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.6372637263726,97.39448457998978
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.70927092709275,97.32836641617334
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.7812781278128,97.26224825235697
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.8532853285329,97.1961300885406
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.92529252925294,97.13001192472422
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",292.997299729973,97.06389376090783
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.0693069306931,96.99777559709148
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.14131413141314,96.93165743327509
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.2133213321332,96.86553926945871
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.28532853285327,96.79942110564234
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.3573357335734,96.73330294182591
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.42934293429346,96.66718477800953
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.5013501350135,96.60106661419316
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.5733573357336,96.53494845037679
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.64536453645366,96.4688302865604
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.7173717371737,96.40271212274403
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.7893789378938,96.33659395892766
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.86138613861385,96.27047579511128
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",293.9333933393339,96.2043576312949
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.00540054005404,96.13823946747848
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.0774077407741,96.0721213036621
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.1494149414942,96.00600313984572
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.22142214221424,95.93988497602935
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.2934293429343,95.87376681221298
